ps	codeGained	ps_name_gained	gained_clusters	gained_genes	codeLost	ps_name_lost	lost_clusters	lost_genes	cval	spec_code
17	168	node17	77	668	168	node17	2212	99213	11	11
18	172	node21	53	376	172	node21	1199	40751	11	11
19	173	node22	38	247	173	node22	550	32291	11	11
20	11	Caug	1776	3277	11	Caug	1876	161586	11	11
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	12
2	152	node1	2647	391089	NA	NA	NA	NA	11	12
3	154	node3	667	99502	154	node3	51	441	11	12
4	155	node4	515	51497	155	node4	20	120	11	12
5	156	node5	2349	135569	156	node5	14	94	11	12
6	157	node6	666	31539	157	node6	241	1947	11	12
7	158	node7	4311	138045	158	node7	42	325	11	12
8	159	node8	4313	71478	159	node8	472	11227	11	12
9	160	node9	212	2197	160	node9	4810	136631	11	12
10	161	node10	459	4811	161	node10	409	17110	11	12
11	162	node11	101	1876	162	node11	1256	29240	11	12
12	163	node12	172	2106	163	node12	360	10342	11	12
13	164	node13	720	11863	164	node13	600	25941	11	12
14	165	node14	370	3390	165	node14	1347	38830	11	12
15	166	node15	116	1621	166	node15	2128	57166	11	12
16	167	node16	382	3851	167	node16	419	8782	11	12
17	168	node17	77	668	168	node17	2212	99213	11	12
18	172	node21	53	376	172	node21	1199	40751	11	12
19	12	Tqin	3148	5656	12	Tqin	3164	304412	11	12
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	13
2	152	node1	2647	391089	NA	NA	NA	NA	11	13
3	154	node3	667	99502	154	node3	51	441	11	13
4	155	node4	515	51497	155	node4	20	120	11	13
5	156	node5	2349	135569	156	node5	14	94	11	13
6	157	node6	666	31539	157	node6	241	1947	11	13
7	158	node7	4311	138045	158	node7	42	325	11	13
8	159	node8	4313	71478	159	node8	472	11227	11	13
9	160	node9	212	2197	160	node9	4810	136631	11	13
10	161	node10	459	4811	161	node10	409	17110	11	13
11	162	node11	101	1876	162	node11	1256	29240	11	13
12	163	node12	172	2106	163	node12	360	10342	11	13
13	164	node13	720	11863	164	node13	600	25941	11	13
14	165	node14	370	3390	165	node14	1347	38830	11	13
15	166	node15	116	1621	166	node15	2128	57166	11	13
16	167	node16	382	3851	167	node16	419	8782	11	13
17	177	node26	70	433	177	node26	2631	90419	11	13
18	178	node27	38	380	178	node27	1111	64182	11	13
19	13	Ppol	1113	2085	13	Ppol	2736	258540	11	13
1	10000001	root	7204	1882677	NA	NA	NA	NA	11	14
2	152	node1	2647	391089	NA	NA	NA	NA	11	14
