representative	minTaxID
pid|0000000000000652045|tx|65|	10000001
pid|0000000000000065803|tx|65|	10000001
pid|0000000000000065685|tx|65|	10000001
pid|0000000000000651204|tx|65|	10000001
pid|0000000000000653221|tx|65|	10000001
pid|0000000000000654662|tx|65|	10000001
pid|0000000000000651448|tx|65|	10000001
pid|0000000000000065406|tx|65|	10000001
pid|0000000000000651077|tx|65|	10000001
pid|0000000000000065215|tx|65|	10000001
pid|0000000000000655143|tx|65|	10000001
pid|0000000000000651230|tx|65|	10000001
pid|0000000000000065918|tx|65|	10000001
pid|0000000000000065201|tx|65|	10000001
pid|0000000000000652488|tx|65|	10000001
pid|0000000000000657431|tx|65|	10000001
pid|0000000000000006586|tx|65|	10000001
pid|0000000000000654023|tx|65|	10000001
pid|0000000000000657769|tx|65|	10000001
pid|0000000000000652423|tx|65|	10000001
pid|0000000000000652403|tx|65|	10000001
pid|0000000000000065812|tx|65|	10000001
pid|0000000000000065322|tx|65|	10000001
pid|0000000000000658411|tx|65|	10000001
pid|0000000000000654441|tx|65|	10000001
pid|0000000000000006584|tx|65|	10000001
pid|0000000000000654236|tx|65|	10000001
pid|0000000000000652866|tx|65|	10000001
pid|0000000000000065569|tx|65|	10000001
pid|0000000000000651131|tx|65|	10000001
pid|0000000000000651792|tx|65|	10000001
pid|0000000000000065307|tx|65|	10000001
pid|0000000000000065742|tx|65|	10000001
pid|0000000000000000652|tx|65|	10000001
pid|0000000000000652873|tx|65|	10000001
pid|0000000000006510511|tx|65|	10000001
pid|0000000000000006589|tx|65|	10000001
pid|0000000000000651653|tx|65|	10000001
pid|0000000000000653359|tx|65|	10000001
pid|0000000000000651093|tx|65|	10000001
pid|0000000000000656027|tx|65|	10000001
pid|0000000000000065860|tx|65|	10000001
pid|0000000000000651485|tx|65|	10000001
pid|0000000000000006585|tx|65|	10000001
pid|0000000000000065736|tx|65|	10000001
pid|0000000000000065578|tx|65|	10000001
pid|0000000000006510117|tx|65|	10000001
pid|0000000000000655226|tx|65|	10000001
pid|0000000000000657135|tx|65|	10000001
pid|0000000000000657660|tx|65|	10000001
pid|0000000000000655498|tx|65|	10000001
pid|0000000000006513370|tx|65|	10000001
pid|0000000000000652980|tx|65|	10000001
pid|0000000000000652388|tx|65|	10000001
pid|0000000000000652718|tx|65|	10000001
pid|0000000000006511276|tx|65|	10000001
pid|0000000000000309779|tx|30|	10000001
pid|0000000000000657055|tx|65|	10000001
pid|0000000000000654514|tx|65|	10000001
pid|0000000000006513479|tx|65|	10000001
pid|0000000000006510707|tx|65|	10000001
pid|0000000000000652698|tx|65|	10000001
pid|0000000000000065436|tx|65|	10000001
pid|0000000000000652239|tx|65|	10000001
pid|0000000000000656949|tx|65|	10000001
pid|0000000000006510559|tx|65|	10000001
pid|0000000000000658269|tx|65|	10000001
pid|0000000000000065345|tx|65|	10000001
pid|0000000000000652640|tx|65|	10000001
pid|0000000000000654302|tx|65|	10000001
pid|0000000000006515501|tx|65|	10000001
pid|0000000000000652466|tx|65|	10000001
pid|0000000000000065268|tx|65|	10000001
pid|0000000000000653184|tx|65|	10000001
pid|0000000000000654013|tx|65|	10000001
pid|0000000000000654520|tx|65|	10000001
pid|0000000000000654607|tx|65|	10000001
pid|0000000000000065743|tx|65|	10000001
pid|0000000000000656884|tx|65|	10000001
pid|0000000000000653324|tx|65|	10000001
